År,Myndighet,Anslagsnamn,Anslagspostsnamn,Utgiftsområdesnamn,Organisationsnummer,Total,,,Utfall januari,Utfall februari,Utfall mars,Utfall april,Utfall maj,Utfall juni,Utfall juli,Utfall augusti,Utfall september,Utfall oktober,Utfall november,Utfall december
2022,Länsstyrelsen i Jönköpings län,Länsstyrelserna m.m.,Jönköpings län,Rikets styrelse,2021002288,10421714090,,,"182,689,203","508,092,602","1,071,762,419","1,345,039,057","1,165,617,646","1,931,520,111","282,961,573","100,722,021","862,792,514","1,422,074,349","1,372,147,191","176,295,404"
2022,Länsstyrelsen i Kronobergs län,Länsstyrelserna m.m.,Kronobergs län,Rikets styrelse,2021002296,8681735432,,,"845,918,887","83,476,848","593,343,976","942,202,147","921,801,103","859,970,772","532,071,423","691,871,524","590,661,608","748,019,684","939,443,161","932,954,299"
2022,Länsstyrelsen i Kalmar län,Länsstyrelserna m.m.,Kalmar län,Rikets styrelse,2021002304,8700322712,,,"975,075,882","850,546,735","831,052,406","109,288,834","951,868,511","100,385,381","1,677,003,343","-132,262,071","76,888,698","760,912,127","989,865,887","1,509,696,979"
2022,Länsstyrelsen i Gotlands län,Länsstyrelserna m.m.,Gotlands län,Rikets styrelse,2021002312,6230074250,,,"597,235,036","514,328,039","465,792,306","554,404,503","53,513,933","650,266,357","404,444,304","442,524,629","552,936,547","537,596,738","547,432,973","909,598,885"
2022,Länsstyrelsen i Blekinge län,Länsstyrelserna m.m.,Blekinge län,Rikets styrelse,2021002320,7372323042,,,"675,924,466","612,410,909","572,209,888","664,914,159","694,390,094","688,765,058","532,364,811","404,072,675","573,932,354","547,247,507","630,476,828","775,614,293"
2022,Länsstyrelsen i Skåne län,Länsstyrelserna m.m.,Skåne län,Rikets styrelse,2021002346,33408112483,,,"239,118,749","2,760,439,133","2,814,042,013","3,273,301,334","2,374,908,859","3,746,101,802","2,694,161,647","1,543,299,275","2,714,177,231","3,199,080,292","3,416,833,711","4,632,648,437"
2022,Länsstyrelsen i Hallands län,Länsstyrelserna m.m.,Hallands län,Rikets styrelse,2021002353,10934306178,,,"955,962,017","1,034,394,912","1,026,155,177","1,211,860,978","898,148,254","112,570,452","834,853,564","755,343,329","912,086,749","1,409,020,769","831,377,793","952,532,184"
2022,Länsstyrelsen i Västra Götalands län,Länsstyrelserna m.m.,Västra Götalands län,Rikets styrelse,2021002361,46404952840,,,"4,074,747,168","3,488,291,226","3,606,721,555","3,745,296,235","4,055,386,806","4,145,458,354","2,359,237,457","2,760,017,418","3,834,129,426","4,787,817,235","4,137,000,625","5,410,849,335"
2022,Länsstyrelsen i Värmlands län,Länsstyrelserna m.m.,Värmlands län,Rikets styrelse,2021002395,13276320529,,,"989,905,439","1,107,722,125","1,291,070,854","1,231,223,849","797,034,364","1,383,175,276","855,366,983","742,553,986","906,161,116","1,054,573,401","1,172,885,549","1,744,647,587"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Örebro län,Rikets styrelse,2021002403,14852619306,,,"1,156,750,405","985,074,505","917,877,611","1,091,750,937","1,126,643,875","2,153,087,556","867,530,228","779,542,643","925,057,674","1,178,420,811","2,439,648,782","1,231,234,279"
2022,Länsstyrelsen i Västmanlands län,Länsstyrelserna m.m.,Västmanlands län,Rikets styrelse,2021002411,13532913440,,,"781,102,695","738,446,859","807,201,916","1,010,554,242","1,303,586,472","940,793,716","653,051,417","881,752,243","726,300,877","1,296,595,703","1,225,277,412","3,168,249,888"
2022,Länsstyrelsen i Dalarnas län,Länsstyrelserna m.m.,Dalarnas län,Rikets styrelse,2021002429,10785453259,,,"1,083,004,041","1,152,981,108","920,861,808","1,304,642,718","1,175,139,707","1,297,017,721","851,275,193","861,631,489","787,437,861","1,221,360,679","15,014,827","115,086,107"
2022,Länsstyrelsen i Gävleborgs län,Länsstyrelserna m.m.,Gävleborgs län,Rikets styrelse,2021002437,12239523908,,,"1,224,837,806","1,015,296,243","903,591,492","1,009,917,344","1,086,438,095","1,232,454,248","797,695,949","466,231,974","964,930,639","869,885,366","1,354,928,796","1,313,315,956"
2022,Länsstyrelsen i Västernorrlands län,Länsstyrelserna m.m.,Västernorrlands län,Rikets styrelse,2021002445,12211593879,,,"942,130,612","1,089,421,869","1,039,044,977","1,210,689,671","1,075,289,833","1,138,840,066","911,493,188","619,802,557","940,164,269","1,164,835,679","960,259,655","1,119,621,503"
2022,Länsstyrelsen i Jämtlands län,Länsstyrelserna m.m.,Jämtlands län,Rikets styrelse,2021002452,10566469823,,,"753,945,402","1,058,398,586","96,842,988","996,553,311","1,030,433,267","1,110,607,721","726,939,751","756,443,745","758,737,437","937,704,521","1,051,016,413","1,288,846,681"
